BibNumber,FirstName,LastName,Gender,Age,Country,City,Time
1,Mateusz,Lewis,M,49,Czech Republic,Prague,2:15:23
2,Sunita,Ivanov,F,53,China,Beijing,4:51:37
3,Emily,Allen,F,67,Argentina,Rosario,3:32:41
4,Lucia,Petrov,F,54,United Arab Emirates,Abu Dhabi,3:16:08
5,Lorenzo,Smith,M,65,Norway,Bergen,3:44:44
6,Jan,Johnson,M,31,Romania,Cluj-Napoca,3:07:29
7,Mateusz,Costa,M,44,Russia,Moscow,3:20:42
8,Ava,Bianchi,F,36,Israel,Nazareth,2:05:10
9,Zuzanna,Ivanov,F,48,Romania,Bucharest,2:17:40
10,María,Anderson,F,63,Netherlands,Eindhoven,4:43:39
11,George,Young,M,26,Brazil,Salvador,5:59:31
12,Laura,Kowalczyk,F,55,Ethiopia,Addis Ababa,2:24:37
13,Sunita,Rossi,F,34,Ukraine,Kyiv,5:01:02
14,James,Thompson,M,36,Israel,Tel Aviv,5:21:40
15,Pedro,Gomes,M,61,Israel,Jerusalem,4:37:48
16,John,Petrov,M,21,United Kingdom,Manchester,2:46:32
17,Benjamin,Popov,M,65,Romania,Constanta,2:44:49
18,Julia,Jackson,F,28,Poland,Poznan,3:51:04
19,George,Gonzalez,M,39,Sweden,Stockholm,5:02:29
20,Alexander,Costa,M,21,Poland,Poznan,5:22:45
21,Megan,Oliveira,F,34,United States,Boston,2:47:32
22,Jack,Rossi,M,25,Portugal,Braga,5:59:48
23,David,Williams,M,63,Singapore,Singapore,5:30:27
24,Henry,Young,M,51,Portugal,Porto,2:29:42
25,James,Martin,M,28,Denmark,Aalborg,2:43:30
26,Olga,Costa,F,48,South Africa,Port Elizabeth,3:07:21
27,Giovanni,Hernandez,M,28,Singapore,Singapore,4:06:25
28,María,Davis,F,55,Australia,Sydney,4:11:57
29,Emily,Petrov,F,70,Denmark,Aarhus,3:08:59
30,Daniel,Thomas,M,38,France,Nice,4:11:21
31,Anna,Wilson,F,63,Sweden,Malmo,2:50:55
32,Mateo,Wiśniewski,M,47,United Kingdom,Birmingham,4:35:14
33,James,Miller,M,27,South Africa,Johannesburg,3:04:57
34,Isabela,Kuznetsov,F,43,Singapore,Singapore,4:29:12
35,Emma,Hernandez,F,44,Mexico,Monterrey,3:32:17
36,Zuzanna,Santos,F,25,Germany,Berlin,5:33:24
37,Jakub,Kaczmarek,M,56,Brazil,Sao Paulo,2:34:00
38,Mikhail,Anderson,M,25,United States,Los Angeles,2:40:24
39,Maria,Petrov,F,25,Romania,Bucharest,4:45:36
40,John,Santos,M,51,Spain,Valencia,3:33:11
41,Lucas,Petrov,M,33,Canada,Montreal,2:56:37
42,Henry,Gomes,M,58,Norway,Tromso,3:32:27
43,Daniel,Novak,M,30,Japan,Kyoto,3:19:29
44,Olivia,Garcia,F,40,Switzerland,Zurich,4:32:25
45,Piotr,Costa,M,29,Denmark,Aalborg,3:28:19
46,Chiara,Gomes,F,44,Sweden,Vasteras,5:20:33
47,Jack,Kaczmarek,M,39,Brazil,Sao Paulo,4:33:55
48,Yuki,Jones,F,49,Romania,Iasi,3:54:26
49,Anna,Harris,F,66,Australia,Sydney,4:07:24
50,Jakub,Nowak,M,44,Sweden,Vasteras,2:19:12
51,Olga,Silva,F,19,Russia,Kazan,5:59:18
52,Isabela,Bianchi,F,62,Russia,Yekaterinburg,3:27:06
53,Chiara,Anderson,F,50,Russia,Kazan,4:47:33
54,Maria,Davis,F,43,Austria,Linz,3:29:28
55,Alina,Garcia,F,45,Romania,Cluj-Napoca,5:27:17
56,Amelia,Garcia,F,36,India,Delhi,5:06:08
57,Piotr,Kowalczyk,M,60,China,Beijing,3:34:49
58,Harry,Gomes,M,22,Kenya,Mombasa,5:52:20
59,Lorenzo,Kowalczyk,M,50,South Africa,Durban,2:26:58
60,Lucas,Torres,M,37,Israel,Tel Aviv,2:07:01
61,Mateusz,Rodriguez,M,47,United Arab Emirates,Abu Dhabi,3:15:54
62,Jan,Harris,M,62,Spain,Madrid,5:23:39
63,Ingrid,Kowalczyk,F,25,Hungary,Miskolc,4:26:38
64,Liam,Martin,M,55,Ukraine,Odesa,5:27:54
65,Elijah,Nguyen,M,34,South Korea,Daegu,4:40:04
66,Hannah,Gonzalez,F,61,Singapore,Singapore,5:42:18
67,Jakub,Ramirez,M,18,United Kingdom,Manchester,5:47:29
68,Zuzanna,Kaczmarek,F,20,Turkey,Izmir,2:36:36
69,Mateusz,Bianchi,M,63,Slovakia,Presov,5:39:38
70,Evelyn,King,F,43,Kenya,Mombasa,3:44:36
71,Yuki,Nguyen,F,48,South Africa,Durban,4:18:26
72,Lucas,Miller,M,25,Canada,Toronto,4:27:17
73,Luis,Smith,M,60,Norway,Tromso,3:10:11
74,Hannah,Silva,F,63,Kenya,Mombasa,4:24:00
75,Sara,Lee,F,25,Ukraine,Dnipro,2:22:19
76,Abigail,Ferrari,F,52,Japan,Osaka,4:44:42
77,Alina,Romano,F,56,Finland,Espoo,3:10:04
78,Lucas,Young,M,45,Romania,Iasi,3:26:16
79,Giovanni,Martinez,M,68,Austria,Innsbruck,4:23:29
80,George,Jackson,M,21,Denmark,Odense,2:16:43
81,Abigail,Kowalczyk,F,33,Italy,Bologna,5:34:35
82,Ava,Murphy,F,30,Kenya,Mombasa,2:54:15
83,Jan,Martin,M,37,China,Shenzhen,3:36:10
84,David,Smirnov,M,68,United States,New York,3:52:20
85,Lucas,Moore,M,22,United Arab Emirates,Abu Dhabi,2:38:44
86,Jack,Walker,M,54,United States,New York,5:37:10
87,Giulia,Young,F,37,Australia,Brisbane,3:28:16
88,Alina,Kuznetsov,F,41,Finland,Vantaa,5:34:48
89,Julia,Brown,F,53,Finland,Tampere,3:54:29
90,Piotr,Martinez,M,51,Mexico,Mexico City,3:17:25
91,Hugo,Silva,M,62,Sweden,Gothenburg,4:54:09
92,Chiara,Smirnov,F,65,Mexico,Cancun,3:42:42
93,Sophia,Gomes,F,51,United Kingdom,Birmingham,3:38:54
94,Camila,Silva,F,36,Sweden,Gothenburg,5:41:13
95,Olivia,Popov,F,34,Israel,Beer Sheva,5:08:11
96,Luis,Martin,M,22,Turkey,Bursa,2:21:37
97,Sofia,Johnson,F,42,Japan,Nagoya,2:11:45
98,Thomas,Sanchez,M,35,Hungary,Debrecen,5:09:00
99,Piotr,Ramirez,M,70,South Africa,Durban,2:09:03
100,John,Thompson,M,67,India,Mumbai,4:17:47
101,Luis,Sanchez,M,25,Norway,Bergen,2:45:14
102,Isabella,King,F,44,India,Chennai,3:09:16
103,Nikolai,Jackson,M,32,Switzerland,Bern,3:49:23
104,Valentina,Smirnov,F,62,Poland,Gdansk,4:17:18
105,Olga,Sanchez,F,30,Australia,Adelaide,4:48:17
106,Benjamin,Rodriguez,M,33,Mexico,Puebla,4:28:44
107,Jan,Wiśniewski,M,39,Canada,Calgary,5:32:50
108,Maya,Costa,F,37,Argentina,Mendoza,5:54:32
109,Elijah,Silva,M,30,Russia,Kazan,5:08:18
110,Oleg,Robinson,M,37,Mexico,Guadalajara,2:24:01
111,Mateo,Torres,M,19,Argentina,Cordoba,3:13:46
112,Henry,Lewis,M,52,Israel,Nazareth,2:55:24
113,Emily,Jackson,F,64,China,Guangzhou,4:41:04
114,Abigail,Wilson,F,36,India,Delhi,5:51:24
115,Giulia,Bianchi,F,62,Spain,Madrid,4:01:47
116,Valentina,Kowalczyk,F,54,Denmark,Copenhagen,3:02:36
117,Olivia,White,F,23,South Korea,Busan,3:44:59
118,Jack,Miller,M,31,Denmark,Aarhus,3:14:57
119,Abigail,Harris,F,21,Denmark,Aalborg,4:39:47
120,Isabela,Ivanov,F,39,Romania,Constanta,3:42:04
121,Sofia,Gomes,F,68,Switzerland,Zurich,5:26:37
122,Sophia,Miller,F,56,Netherlands,Utrecht,3:57:46
123,Kacper,Walker,M,53,Slovakia,Nitra,2:52:32
124,Santiago,Brown,M,51,Romania,Constanta,2:45:55
125,Lucas,Allen,M,44,Turkey,Bursa,4:10:14
126,Piotr,Nguyen,M,24,United Kingdom,Glasgow,5:26:55
127,Isabela,Martinez,F,20,South Korea,Incheon,2:28:10
128,Laura,Thomas,F,64,Germany,Cologne,3:27:05
129,Oliver,Davis,M,50,Switzerland,Zurich,2:52:16
130,Anna,Sanchez,F,19,Russia,Moscow,2:15:17
131,Michael,Martin,M,59,Hungary,Pecs,5:04:48
132,George,Lopez,M,33,Singapore,Singapore,5:34:38
133,Jakub,Kaczmarek,M,42,China,Shenzhen,2:46:09
134,James,Kaczmarek,M,32,Slovakia,Bratislava,5:32:48
135,Sara,Costa,F,41,Portugal,Coimbra,2:50:02
136,Jakub,Moore,M,32,Ethiopia,Mekelle,3:49:17
137,María,White,F,48,Mexico,Guadalajara,5:50:49
138,Olivia,Davis,F,31,India,Hyderabad,4:20:05
139,Lucas,Garcia,M,31,Turkey,Istanbul,2:57:45
140,Amelia,Young,F,23,China,Shenzhen,4:25:51
141,Isabella,Anderson,F,31,Turkey,Antalya,5:14:30
142,Noah,Nguyen,M,34,China,Shanghai,4:59:43
143,Jack,Torres,M,35,Portugal,Braga,3:18:50
144,John,Moore,M,37,United Arab Emirates,Dubai,4:38:58
145,Benjamin,Rossi,M,68,Brazil,Brasilia,3:44:52
146,Harry,Lopez,M,34,South Korea,Daejeon,5:34:18
147,Julia,Walker,F,33,Singapore,Singapore,5:29:09
148,Isabela,Martin,F,57,Netherlands,Rotterdam,5:15:03
149,Jack,Rodriguez,M,56,Austria,Graz,3:54:57
150,Benjamin,Lee,M,69,Israel,Jerusalem,2:28:27
151,Isabella,Kuznetsov,F,49,Poland,Poznan,4:44:52
152,Daniel,Lopez,M,61,Canada,Calgary,4:38:21
153,Luis,Ferrari,M,26,Spain,Madrid,3:37:37
154,Noah,Sanchez,M,44,Israel,Nazareth,4:01:39
155,Olga,Ferrari,F,63,Hungary,Szeged,4:11:29
156,Daniel,Rossi,M,69,Argentina,Mendoza,3:01:46
157,Megan,Young,F,50,Italy,Rome,5:21:34
158,Isabella,King,F,27,Israel,Tel Aviv,3:40:00
159,Harry,Wright,M,34,Japan,Kyoto,4:20:27
160,Amelia,Wiśniewski,F,66,Czech Republic,Ostrava,3:15:27
161,Hugo,Petrov,M,66,Singapore,Singapore,5:08:27
162,Amelia,Lopez,F,53,Sweden,Stockholm,4:50:36
163,Yuki,Smirnov,F,34,Norway,Bergen,5:04:00
164,Camila,Smith,F,35,Sweden,Vasteras,2:30:45
165,Thomas,Lewis,M,69,Finland,Helsinki,4:06:47
166,Zuzanna,Davis,F,40,Sweden,Stockholm,4:20:32
167,Oliver,Rodriguez,M,51,Kenya,Nakuru,2:07:14
168,Jack,Wilson,M,25,Germany,Berlin,5:42:34
169,Mateo,Garcia,M,30,India,Chennai,2:52:39
170,Olga,Taylor,F,40,United States,Boston,5:19:30
171,Ava,Garcia,F,37,United Kingdom,Manchester,5:42:37
172,Lucas,Allen,M,39,Ethiopia,Mekelle,4:57:13
173,Daria,White,F,64,Slovakia,Zilina,3:45:03
174,Daniel,Hernandez,M,69,Romania,Cluj-Napoca,2:26:04
175,Isabela,Petrov,F,40,Germany,Hamburg,2:34:32
176,Liam,Thomas,M,58,Israel,Nazareth,2:07:44
177,Daria,Williams,F,52,Canada,Calgary,5:35:12
