BibNumber,FirstName,LastName,Gender,Age,Country,City,Time
1,Kacper,Ivanov,M,34,China,Chengdu,5:20:50
2,Giulia,Gomes,F,20,Sweden,Stockholm,4:57:53
3,Ingrid,Jones,F,18,Spain,Seville,5:54:15
4,Elijah,Smirnov,M,19,Australia,Melbourne,3:30:59
5,Henry,Clark,M,41,Argentina,La Plata,2:23:35
6,Daniel,Nguyen,M,69,Poland,Warsaw,5:53:44
7,Emily,Moore,F,52,Netherlands,The Hague,2:37:19
8,Noah,Melo,M,54,Argentina,Mendoza,5:10:06
9,Megan,Martin,F,59,Canada,Calgary,3:21:28
10,Ingrid,Taylor,F,60,Austria,Salzburg,5:02:10
11,William,Kuznetsov,M,50,France,Paris,2:28:45
12,Maria,White,F,19,South Africa,Pretoria,2:24:25
13,Luis,Lopez,M,70,Ethiopia,Mekelle,3:16:07
14,Ekaterina,Ferrari,F,50,Finland,Helsinki,2:28:11
15,Giovanni,Johnson,M,18,Australia,Sydney,5:03:17
16,Jakub,Jackson,M,26,Italy,Rome,4:02:07
17,Lucia,Perez,F,24,Sweden,Gothenburg,5:26:41
18,Lucia,Hernandez,F,32,Australia,Perth,4:31:19
19,Pedro,Lewis,M,24,Sweden,Stockholm,5:32:44
20,Luis,Hernandez,M,50,Finland,Vantaa,2:48:59
21,Charlotte,Robinson,F,23,Ethiopia,Addis Ababa,2:33:33
22,Sofia,Brown,F,66,Romania,Constanta,3:28:45
23,Alexander,Nowak,M,53,Ethiopia,Addis Ababa,5:53:37
24,Marco,White,M,52,Brazil,Fortaleza,2:35:03
25,Isabella,White,F,24,Switzerland,Bern,4:27:12
26,Evelyn,Miller,F,23,Denmark,Copenhagen,3:18:19
27,John,Ferrari,M,27,Argentina,Cordoba,5:20:35
28,Megan,Nowak,F,45,Switzerland,Geneva,4:57:43
29,George,Gomes,M,39,United States,New York,3:18:46
30,Giovanni,Petrov,M,28,Germany,Munich,4:34:21
31,Luis,Smith,M,24,India,Hyderabad,4:51:59
32,Sophia,Robinson,F,19,Australia,Perth,3:26:14
33,Ava,Allen,F,58,United Kingdom,Birmingham,3:38:27
34,Abigail,Clark,F,59,Mexico,Cancun,3:15:30
35,Jack,Jones,M,35,Austria,Vienna,4:27:00
36,Jack,Moore,M,53,Ukraine,Dnipro,3:23:09
37,Mateo,Johnson,M,55,Japan,Tokyo,5:22:53
38,Isabella,Kowalczyk,F,36,Netherlands,Eindhoven,5:50:04
39,Camila,Petrov,F,35,United Arab Emirates,Abu Dhabi,2:11:59
40,Piotr,Moore,M,42,Spain,Barcelona,2:51:08
41,Isabella,Costa,F,34,India,Delhi,5:13:35
42,Jan,Brown,M,60,India,Mumbai,5:39:49
43,Isabella,Kuznetsov,F,25,South Africa,Port Elizabeth,4:54:08
44,Mia,Nguyen,F,56,Canada,Toronto,5:35:59
45,Henry,Anderson,M,40,Hungary,Budapest,2:26:55
46,Laura,Ferrari,F,44,Romania,Cluj-Napoca,4:56:36
47,Liam,Thompson,M,45,Ethiopia,Dire Dawa,5:19:08
48,Oleg,Murphy,M,69,Hungary,Szeged,2:43:58
49,Harry,Rodriguez,M,32,China,Beijing,3:56:40
50,Daria,Gomes,F,30,India,Chennai,3:01:32
51,Abigail,Rodriguez,F,63,Norway,Stavanger,5:43:15
52,Ekaterina,Harris,F,26,South Africa,Durban,5:11:18
53,Giovanni,Martinez,M,20,Kenya,Nakuru,2:41:09
54,Hugo,Nowak,M,32,Portugal,Braga,5:13:03
55,Piotr,Scott,M,70,Romania,Cluj-Napoca,3:17:57
56,Katarzyna,Nguyen,F,28,Turkey,Izmir,5:54:35
57,Abigail,Moore,F,43,South Africa,Port Elizabeth,3:12:15
58,Jan,Martin,M,24,Austria,Innsbruck,3:02:01
59,Laura,Thompson,F,62,Kenya,Eldoret,5:39:42
60,Harry,Johnson,M,24,Hungary,Miskolc,3:48:56
61,Lucas,Oliveira,M,36,Switzerland,Lausanne,3:47:31
62,Giulia,Melo,F,36,Israel,Tel Aviv,3:33:42
63,Hugo,Ferrari,M,66,Finland,Oulu,5:18:31
64,Hannah,Kowalski,F,49,India,Hyderabad,2:44:12
65,Anna,Melo,F,46,Russia,Yekaterinburg,2:18:00
66,Hannah,Perez,F,46,Switzerland,Zurich,4:16:36
